state,x,y
Aguascalientes,3,-62
Baja California,-424,256
Baja California Sur,-303,72
Campeche,392,-171
Chiapas,312,-253
Chihuahua,-132,154
Ciudad De Mexico,105,-160
Coahuila,1,132
Colima,-50,-162
Durango,-85,45
Guanajuato,39,-99
Guerrero,80,-216
Hidalgo,110,-114
Jalisco,-51,-123
Estado De Mexico,81,-157
Michoacan,16,-161
Morelos,109,-177
Nayarit,-80,-68
Nuevo Leon,84,60
Oaxaca,189,-239
Puebla,144,-177
Queretaro,80,-105
Quintana Roo,453,-152
San Luis Potosi,68,-48
Sinaloa,-174,49
Sonora,-276,216
Tabasco,302,-196
Tamaulipas,126,11
Tlaxcala,138,-152
Veracruz,185,-153
Yucatan,440,-102
Zacatecas,-16,-12